epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.308,1.52276,3.484,1.61581,0.54588,0.47563,0.50371,0.33989,1.29442,2.19799,1.60232,0.000234222,0.000234222,0.000234222
2,228.601,1.36802,1.88097,1.62213,0.47146,0.36331,0.4062,0.25977,1.37081,2.1474,1.88276,0.000462872,0.000462872,0.000462872
3,268.114,1.37059,1.63284,1.63765,0.8413,0.65355,0.76571,0.50394,1.38773,2.39323,1.88602,0.000682097,0.000682097,0.000682097
4,308.744,1.4016,1.41893,1.63738,0.83092,0.63608,0.75452,0.48934,1.3955,1.60435,1.87564,0.000671588,0.000671588,0.000671588
5,348.815,1.37498,1.2615,1.61854,0.90758,0.62351,0.775,0.51577,1.356,1.03774,1.81355,0.000657451,0.000657451,0.000657451
6,389.129,1.37777,1.17656,1.66927,0.95852,0.55935,0.75774,0.47549,1.53488,0.93431,1.97678,0.000643314,0.000643314,0.000643314
7,429.689,1.35833,1.14573,1.61943,0.86707,0.58167,0.74338,0.50064,1.34176,1.01555,1.75079,0.000629177,0.000629177,0.000629177
8,470.397,1.30202,1.05501,1.56301,0.82263,0.50363,0.676,0.46148,1.2758,0.88869,1.69476,0.00061504,0.00061504,0.00061504
9,511.303,1.29801,0.98914,1.55765,0.98046,0.79939,0.89298,0.60758,1.28152,0.65963,1.69684,0.000600902,0.000600902,0.000600902
10,552.598,1.26142,0.95642,1.53118,0.87034,0.57727,0.7223,0.48572,1.29084,0.76816,1.69479,0.000586765,0.000586765,0.000586765
11,592.914,1.27448,0.92083,1.53527,0.95948,0.74139,0.85827,0.60021,1.23989,0.67216,1.64508,0.000572628,0.000572628,0.000572628
12,633.233,1.27431,0.89812,1.54383,0.96715,0.69731,0.83691,0.56391,1.334,0.72737,1.73916,0.000558491,0.000558491,0.000558491
13,673.575,1.2583,0.8722,1.51198,0.99208,0.84322,0.91986,0.64428,1.23926,0.53307,1.63141,0.000544354,0.000544354,0.000544354
14,713.692,1.21069,0.83522,1.51406,0.97715,0.84135,0.91437,0.63237,1.24512,0.59464,1.63325,0.000530216,0.000530216,0.000530216
15,754.331,1.20374,0.82761,1.49142,0.97169,0.85457,0.92068,0.63432,1.26317,0.60516,1.63625,0.000516079,0.000516079,0.000516079
16,795.015,1.16997,0.7773,1.45592,0.96266,0.76776,0.8682,0.60064,1.25275,0.60758,1.67592,0.000501942,0.000501942,0.000501942
17,836.192,1.1858,0.79734,1.46461,0.96217,0.88335,0.93371,0.64728,1.24262,0.55151,1.64787,0.000487805,0.000487805,0.000487805
18,876.996,1.16003,0.76673,1.44691,0.98374,0.89763,0.94308,0.64975,1.26669,0.51704,1.66364,0.000473668,0.000473668,0.000473668
19,917.95,1.13835,0.72963,1.46035,0.96856,0.86727,0.92478,0.64245,1.23578,0.55659,1.64405,0.00045953,0.00045953,0.00045953
20,958.92,1.15352,0.71017,1.45615,0.98355,0.9538,0.97018,0.67241,1.24689,0.47098,1.65678,0.000445393,0.000445393,0.000445393
21,999.67,1.11548,0.66716,1.44765,0.97081,0.90971,0.94637,0.6649,1.20854,0.5024,1.62337,0.000431256,0.000431256,0.000431256
22,1039.94,1.13204,0.70274,1.44131,0.97463,0.92167,0.95713,0.67331,1.18447,0.47579,1.59444,0.000417119,0.000417119,0.000417119
23,1080.44,1.11498,0.67828,1.41874,0.99199,0.88053,0.93478,0.64581,1.26542,0.47378,1.65545,0.000402982,0.000402982,0.000402982
24,1121.01,1.10013,0.66395,1.40124,0.95452,0.9049,0.93137,0.64839,1.22398,0.52813,1.63777,0.000388844,0.000388844,0.000388844
25,1161.96,1.09638,0.67868,1.42413,0.97994,0.94159,0.96082,0.6611,1.2626,0.4924,1.69115,0.000374707,0.000374707,0.000374707
26,1202.67,1.0965,0.65649,1.41415,0.9775,0.93367,0.9601,0.66561,1.24377,0.47574,1.64998,0.00036057,0.00036057,0.00036057
27,1243.72,1.07101,0.61784,1.40154,0.97699,0.89547,0.94042,0.65008,1.28085,0.48853,1.69964,0.000346433,0.000346433,0.000346433
